iteration,residual,time_seconds
769,1.091287999871e-02,0.031853
770,1.079022482627e-02,0.031886
771,1.066894737818e-02,0.031918
772,1.054903223870e-02,0.031950
773,1.043046416330e-02,0.031982
774,1.031322807679e-02,0.032014
775,1.019730907145e-02,0.032050
776,1.008269240518e-02,0.032082
777,9.969363499725e-03,0.032114
778,9.857307938829e-03,0.032146
779,9.746511466484e-03,0.032178
780,9.636959985171e-03,0.032211
781,9.528639554093e-03,0.032243
782,9.421536387495e-03,0.032276
783,9.315636852912e-03,0.032307
784,9.210927469528e-03,0.032339
785,9.107394906488e-03,0.032371
786,9.005025981227e-03,0.032403
787,8.903807657887e-03,0.032468
788,8.803727045677e-03,0.032501
789,8.704771397263e-03,0.032533
790,8.606928107214e-03,0.032566
791,8.510184710432e-03,0.032598
792,8.414528880600e-03,0.032630
793,8.319948428663e-03,0.032662
794,8.226431301309e-03,0.032694
795,8.133965579469e-03,0.032726
796,8.042539476865e-03,0.032759
797,7.952141338504e-03,0.032791
798,7.862759639268e-03,0.032823
799,7.774382982462e-03,0.032855
800,7.687000098404e-03,0.032887
801,7.600599843023e-03,0.032919
802,7.515171196471e-03,0.032952
803,7.430703261762e-03,0.032984
804,7.347185263401e-03,0.033017
805,7.264606546058e-03,0.033049
806,7.182956573223e-03,0.033081
807,7.102224925913e-03,0.033113
808,7.022401301370e-03,0.033145
809,6.943475511770e-03,0.033178
810,6.865437482947e-03,0.033210
811,6.788277253159e-03,0.033242
812,6.711984971828e-03,0.033274
813,6.636550898314e-03,0.033306
814,6.561965400708e-03,0.033339
815,6.488218954614e-03,0.033371
816,6.415302141973e-03,0.033403
817,6.343205649891e-03,0.033455
